,Acinetobacter,Burkholderia,Burkholderia cepacia complex,Salmonella,Shigella,Enterobacter,Enterobacter cloacae complex,Helicobacter,Campylobacter,Enterococcus,Escherichia,Vibrio,Morganella,Citrobacter,Providencia,Clostrioides,Klebsiella,Proteus,Streptococcus,Staphylococcus,Stenotrophomonas,Stenotrophomonas maltophilia group,Haemophilus,Serratia,Giardia,Vermamoeba,Acanthamoeba,Naegleria,Acinetobacter calcoaceticus baumannii complex,Pseudomonas,Legionella,Mycobacterium,Mycobacterium avium complex
4799494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1H3UN24,,,
4532417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1G5ZGQ0,,,
2831711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0001CC3561,,,
4446766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI001409B653,,,
6687074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000773E2F8,,,
5758644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0010138CFA,,,
371198,UPI00103073B4,UPI000F603C92,UPI00016A2E63,A0A5J0HUX2,,A0A495KII6,A0A156XSP1,A0A4U8U6K3,UPI00069B6BB4,UPI0009B4DD88,A0A2T3TPA2,UPI0013594542,,UPI00080D8B25,,,UPI00136C3907,,UPI0011E70325,A0A6H3W2M4,A0A0R0DMS3,UPI00066A27B1,,A0A2V1HEI4,,,,,F0KJR6,A0A0Q5ERW4,,A0A4Q7R000,
6173067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00128DECF1,,,
298822,UPI001331DD36,UPI001321C7BC,A0A104C3T3,A0A5H8LDZ8,,UPI00044ABD03,UPI0012B9440B,UPI000EB1B918,A0A691J0V4,A0A376H135,UPI000E1D89BF,A0A0B8NS08,,UPI0010C9A873,,,A0A2X3CFK2,,UPI0012905C98,A0A1J4E8P1,UPI0013DB9D89,UPI000C158FF6,,UPI00135732C8,,,,,UPI0004508800,A6V154,,A0A498QS76,
3513706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A427IJX0,,,
2993623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000346ED49,,,
2923719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00053CF33A,,,
2163626,,UPI000757574A,,,,,,,,,UPI001122F63F,UPI00115C33DC,,,,,,,,,,,,,,,,,,UPI001242CBCA,,,
3257066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00046AAA51,,,
3518441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1P8EVI0,,,
4678694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5E7DY84,,,
186542,A0A062G683,A0A3P0MYZ7,UPI000F813628,A0A3V2MZX6,,A0A455VX75,UPI000289AB5E,A0A2T6PXD2,UPI000F089166,A0A1L8SSR1,UPI000DA5DC39,A0A166JJ46,,D4BI59,,,UPI000EFB3C2D,,UPI000B58D3FA,UPI000E6839F7,UPI00040297DA,A0A2J0V5V8,UPI000E58D750,UPI0004E6BFA8,,,,,A0A2M8MKQ7,A0A2N7ZI37,A0A0W0TBQ5,A0A132SZR5,UPI0007FBEDE6
257315,A0A5C4TTC1,A0A653ZC47,A0A2Z6TZ91,A0A5X3NWL2,,UPI0004A6E20D,A0A376FEB5,UPI0012B42A38,A0A610QYS3,A0A0S3K927,UPI000BE9EECA,UPI000DDC016D,,A0A2U4DJR8,,,A0A3S4HG39,,Q9RP91,UPI0013629E36,UPI0013D90210,A0A431UAC8,,I0QUK9,,,,,UPI0003697230,A0A2P6JKY9,A0A378LTK0,A0A1Q4HNV4,
4022223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1X0ZP16,,,
