,Aeromonas,Campylobacter,Clostridioides,Citrobacter,Enterobacter,Enterococcus,Escherichia,Helicobacter,Klebsiella,Listeria,Morganella,Providencia,Salmonella,Shigella,Vibrio,Acinetobacter,Burkholderia,Haemophilus,Legionella,Proteus,Pseudomonas,Serratia,Staphylococcus,Stenotrophomonas,Streptococcus,Acanthamoeba,Naegleria,Giardia,Vermamoeba,M+avium+complex,B+cepacia+complex,S+maltophilia+group,E+cloacae+complex,A+caloaceticus+baumanii+complex,Leptospira,Mycobacterium,Mycolicibacterium,Mycolicibacter,Mycolicibacillus,Mycobacteroides
3003183,,,,,,,UPI000B7DF678,,,,,,,,UPI000D3ECE9A,,UPI000626FEC7,,,,A0A2P6JRC5,,,,,,,,,,,,,,,,,,,
169110,UPI001117A880,A0A692CX73,UPI000D1F2C03,A0A6H3AUW2,A0A4Q4ADX4,A0A2W3YQB7,A0A376URT5,UPI00165C6C44,UPI0013EF1C04,A0A6H5WZ21,,A0A1S1HWM3,UPI00062080C5,UPI000DA5814F,A0A0T7D9Q2,N8VMD6,A0A6P3AWC1,UPI000509CD26,A0A131F3A1,UPI000D6E7CAC,UPI00040F6EE1,A0A447Q176,A0A1E9A638,UPI0015CB30F1,A0A0C1HMN3,,,,,UPI0007FBB133,Q0B5L5,UPI0013DD1D4E,UPI000FCC5B36,A0A6H2VGY0,A0A2M9ZMA3,A0A1A3ECE4,UPI0015CCBBE1,,,A0A1U0USQ7
2505493,,,,,,,UPI000A1FC849,,,,,,,,UPI00069ECD46,,A0A6N4U888,,,,A0A2N5QC91,,,,,,,,,,,,,,,,,,,
2144073,,,,,,,A0A6C8UWT8,,,,,,,,A0A2S7V217,,A0A125SLX3,,,,A0A1G4UNR1,,,,F3UZN2,,,,,,B1KAD5,,,,,,,,,
4472147,,,,,,,,,,,,,,,,,,,,,A0A0C5E7Z7,,,,,,,,,,,,,,,,,,,
6147186,,,,,,,,,,,,,,,,,,,,,UPI000CDB04B9,,,,,,,,,,,,,,,,,,,
1887893,,,,,,,UPI0002CC0AAE,,W1EEG7,,,,,,UPI0002ED5C70,B0VDW9,UPI00075ED056,,,,A0A502IHK6,,,,UPI000B58AEA8,,,,,,UPI0007553D02,,,,,A0A1A2GKU3,,,,
3634262,,,,,,,,,,,,,,,,,,,,,A0A2W5XMY1,,,,,,,,,,,,,,,,,,,
4777319,,,,,,,,,,,,,,,,,,,,,UPI00051470EF,,,,,,,,,,,,,,,,,,,
6360937,,,,,,,,,,,,,,,,,,,,,UPI0011A4D24A,,,,,,,,,,,,,,,,,,,
2148855,,,,,,,A0A5B1ELI9,,,,,,,,A0A2I8XK98,,A0A286P5B7,,,,A0A2U0WBJ1,,,,A0A345VM06,,,,,,A0A1X1PLI2,,,,,,,,,
4688362,,,,,,,,,,,,,,,,,,,,,A0A147HAX8,,,,,,,,,,,,,,,,,,,
2763590,,,,,,,UPI00098C3EE7,,,,,,,,UPI000975CC1B,,UPI000981A83A,,,,A0A2D1TJW5,,,,,,,,,,,,,,,,,,,
1817273,,,,,,,UPI0003069DF9,,UPI000E2D6D04,,,,,,UPI0003F8A217,UPI000DA6DE37,UPI00075D0683,,,,A0A257BRE4,,,,UPI000765679A,,,,,,UPI0007685311,,,,,UPI000B5D9E7C,,,,
3992276,,,,,,,,,,,,,,,,,,,,,A0A3D9EY99,,,,,,,,,,,,,,,,,,,
1795667,,,,,,,UPI0003BECD1E,,UPI000D7481A2,,,,,,UPI00031CF886,UPI000CE2F597,UPI00078E3328,,,,A0A1N7TV92,,,,UPI0005DD680D,,,,,,UPI000751C667,,,,,UPI000BAF6AE4,,,,
5544302,,,,,,,,,,,,,,,,,,,,,UPI0009370593,,,,,,,,,,,,,,,,,,,
504773,UPI0002E77100,A0A5L4NQ33,,UPI000DAAEDFD,UPI00125D8263,UPI00033092BB,UPI0010CBBD10,A0A4Y4XI67,UPI0010827C30,,,,A0A3U4F015,,UPI0015DF5179,UPI0015D220E2,UPI00158A2DE2,,,,UPI0010592C19,A0A542BGF8,UPI001370894B,A0A270NLJ9,E0Q253,,,,,,UPI00158DE71F,UPI000D53FC56,A0A411IYT8,UPI00044DE960,UPI0007746CF3,A0A1W9XZ64,UPI0002EDC86F,,,
7371064,,,,,,,,,,,,,,,,,,,,,V6AJ86,,,,,,,,,,,,,,,,,,,
3821008,,,,,,,,,,,,,,,,,,,,,A0A542JRF4,,,,,,,,,,,,,,,,,,,
7781970,,,,,,,,,,,,,,,,,,,,,A0A4R5JW01,,,,,,,,,,,,,,,,,,,
5963066,,,,,,,,,,,,,,,,,,,,,UPI0005B92E78,,,,,,,,,,,,,,,,,,,
1426012,,,,,,,A0A796CX89,A0A5R9EU21,UPI0006511EF0,,,,UPI0005E51660,,UPI000E0CD5B4,UPI000452E423,UPI000F05861F,,,,UPI000F56778E,,S2XL03,,A0A139NUU4,,,,,,A0A104VHH9,,,,,A0A557XXK6,,,,
3699665,,,,,,,,,,,,,,,,,,,,,A0A542JJF0,,,,,,,,,,,,,,,,,,,
4495333,,,,,,,,,,,,,,,,,,,,,A0A3S1E6C5,,,,,,,,,,,,,,,,,,,
2796048,,,,,,,UPI000941D5F2,,,,,,,,UPI000C84CB16,,UPI0009FABD78,,,,A0A2P8LIV5,,,,,,,,,,,,,,,,,,,
4356299,,,,,,,,,,,,,,,,,,,,,A0A2T5P8V0,,,,,,,,,,,,,,,,,,,
7854518,,,,,,,,,,,,,,,,,,,,,A0A2K4L236,,,,,,,,,,,,,,,,,,,
7142294,,,,,,,,,,,,,,,,,,,,,A0A3M4RKP8,,,,,,,,,,,,,,,,,,,
7098664,,,,,,,,,,,,,,,,,,,,,A0A423KQ97,,,,,,,,,,,,,,,,,,,
7496022,,,,,,,,,,,,,,,,,,,,,J3AGN5,,,,,,,,,,,,,,,,,,,
